strategyName,freq_time,size,fee,slippage,symbol,Strategytype,updatetime,All_args
AAVEUSDT-15K-OB,15,1.0,0.002,0.0025,AAVEUSDT,TurtleStrategy,2023-03-22,"{""highest_n1"": 770.0, ""lowest_n2"": 330.0, ""ATR_short1"": 180.0, ""ATR_long2"": 130.0}"
AAVEUSDT-15K-OB-DY,15,1.0,0.002,0.0025,AAVEUSDT,DynamicStrategy,2023-06-10,"{""ATR_short1"": 360.0, ""ATR_long2"": 130.0}"
AAVEUSDT-15K-OB-VCP,15,1.0,0.002,0.0025,AAVEUSDT,VCPStrategy,2023-04-08,"{""highest_n1"": 700.0, ""lowest_n2"": 550.0, ""std_n3"": 90.0, ""volume_n3"": 110.0}"
ACHUSDT-15K-OB,15,1.0,0.002,0.0025,ACHUSDT,TurtleStrategy,2023-03-28,"{""highest_n1"": 610.0, ""lowest_n2"": 350.0, ""ATR_short1"": 130.0, ""ATR_long2"": 50.0}"
ACHUSDT-15K-OB-DY,15,1.0,0.002,0.0025,ACHUSDT,DynamicStrategy,2023-06-19,"{""ATR_short1"": 60.0, ""ATR_long2"": 630.0}"
ACHUSDT-15K-OB-VCP,15,1.0,0.002,0.0025,ACHUSDT,VCPStrategy,2023-04-11,"{""highest_n1"": 300.0, ""lowest_n2"": 600.0, ""std_n3"": 50.0, ""volume_n3"": 150.0}"
ADAUSDT-15K-OB,15,1.0,0.002,0.0025,ADAUSDT,TurtleStrategy,2023-03-14,"{""highest_n1"": 690.0, ""lowest_n2"": 170.0, ""ATR_short1"": 100.0, ""ATR_long2"": 60.0}"
ADAUSDT-15K-OB-DY,15,1.0,0.002,0.0025,ADAUSDT,DynamicStrategy,2023-05-30,"{""ATR_short1"": 400.0, ""ATR_long2"": 830.0}"
ADAUSDT-15K-OB-VCP,15,1.0,0.002,0.0025,ADAUSDT,VCPStrategy,2023-04-05,"{""highest_n1"": 700.0, ""lowest_n2"": 50.0, ""std_n3"": 110.0, ""volume_n3"": 110.0}"
AGIXUSDT-15K-OB,15,1.0,0.002,0.0025,AGIXUSDT,TurtleStrategy,2023-03-28,"{""highest_n1"": 90.0, ""lowest_n2"": 70.0, ""ATR_short1"": 190.0, ""ATR_long2"": 30.0}"
AGIXUSDT-15K-OB-DY,15,1.0,0.002,0.0025,AGIXUSDT,DynamicStrategy,2023-06-19,"{""ATR_short1"": 520.0, ""ATR_long2"": 30.0}"
AGIXUSDT-15K-OB-VCP,15,1.0,0.002,0.0025,AGIXUSDT,VCPStrategy,2023-04-11,"{""highest_n1"": 50.0, ""lowest_n2"": 50.0, ""std_n3"": 60.0, ""volume_n3"": 190.0}"
ALGOUSDT-15K-OB,15,1.0,0.002,0.0025,ALGOUSDT,TurtleStrategy,2023-03-16,"{""highest_n1"": 550.0, ""lowest_n2"": 790.0, ""ATR_short1"": 170.0, ""ATR_long2"": 10.0}"
ALGOUSDT-15K-OB-DY,15,1.0,0.002,0.0025,ALGOUSDT,DynamicStrategy,2023-06-03,"{""ATR_short1"": 300.0, ""ATR_long2"": 600.0}"
ALGOUSDT-15K-OB-VCP,15,1.0,0.002,0.0025,ALGOUSDT,VCPStrategy,2023-04-07,"{""highest_n1"": 300.0, ""lowest_n2"": 600.0, ""std_n3"": 50.0, ""volume_n3"": 150.0}"
ALICEUSDT-15K-OB,15,1.0,0.002,0.0025,ALICEUSDT,TurtleStrategy,2023-03-25,"{""highest_n1"": 670.0, ""lowest_n2"": 250.0, ""ATR_short1"": 180.0, ""ATR_long2"": 10.0}"
